Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Boston Bruins*,82,65,12,5,135,.823,305,177,1.54,-0.02,.787,54,54-12-16,.756
Toronto Maple Leafs*,82,50,21,11,111,.677,279,222,0.70,0.00,.616,42,42-21-19,.628
Tampa Bay Lightning*,82,46,30,6,98,.598,283,254,0.37,0.02,.555,38,38-30-14,.549
Florida Panthers*,82,42,32,8,92,.561,290,273,0.24,0.04,.506,36,36-32-14,.524
Buffalo Sabres,82,42,33,7,91,.555,296,300,-0.01,0.04,.512,30,30-33-19,.482
Ottawa Senators,82,39,35,8,86,.524,261,271,-0.09,0.04,.470,31,31-35-16,.476
Detroit Red Wings,82,35,37,10,80,.488,240,279,-0.44,0.04,.433,28,28-37-17,.445
Montreal Canadiens,82,31,45,6,68,.415,232,307,-0.85,0.06,.360,21,21-45-16,.354
Carolina Hurricanes*,82,52,21,9,113,.689,266,213,0.66,0.01,.628,39,39-21-22,.610
New Jersey Devils*,82,52,22,8,112,.683,291,226,0.79,0.00,.646,39,39-22-21,.604
New York Rangers*,82,47,22,13,107,.652,277,219,0.70,0.00,.567,37,37-22-23,.591
New York Islanders*,82,42,31,9,93,.567,243,222,0.25,0.00,.537,36,36-31-15,.530
Pittsburgh Penguins,82,40,31,11,91,.555,262,264,0.01,0.04,.488,31,31-31-20,.500
Washington Capitals,82,35,37,10,80,.488,255,265,-0.10,0.02,.439,27,27-37-18,.439
Philadelphia Flyers,82,31,38,13,75,.457,222,277,-0.62,0.05,.372,26,26-38-18,.427
Columbus Blue Jackets,82,25,48,9,59,.360,214,330,-1.34,0.07,.305,15,15-48-19,.299
Colorado Avalanche*,82,51,24,7,109,.665,280,226,0.61,-0.05,.604,36,36-24-22,.573
Dallas Stars*,82,47,21,14,108,.659,285,218,0.75,-0.07,.567,39,39-21-22,.610
Minnesota Wild*,82,46,25,11,103,.628,246,225,0.21,-0.05,.555,34,34-25-23,.555
Winnipeg Jets*,82,46,33,3,95,.579,247,225,0.23,-0.04,.561,36,36-33-13,.518
Nashville Predators,82,42,32,8,92,.561,229,238,-0.12,-0.02,.488,29,29-32-21,.482
St. Louis Blues,82,37,38,7,81,.494,263,301,-0.47,-0.01,.451,27,27-38-17,.433
Arizona Coyotes,82,28,40,14,70,.427,228,299,-0.85,0.01,.348,20,20-40-22,.378
Chicago Blackhawks,82,26,49,7,59,.360,204,301,-1.16,0.02,.317,18,18-49-15,.311
Vegas Golden Knights*,82,51,22,9,111,.677,272,229,0.49,-0.04,.616,38,38-22-22,.598
Edmonton Oilers*,82,50,23,9,109,.665,325,260,0.73,-0.07,.634,45,45-23-14,.634
Los Angeles Kings*,82,47,25,10,104,.634,280,257,0.27,-0.02,.555,37,37-25-20,.573
Seattle Kraken*,82,46,28,8,100,.610,289,256,0.36,-0.04,.585,37,37-28-17,.555
Calgary Flames,82,38,27,17,93,.567,260,252,0.05,-0.05,.482,31,31-27-24,.524
Vancouver Canucks,82,38,37,7,83,.506,276,298,-0.30,-0.04,.439,24,24-37-21,.421
San Jose Sharks,82,22,44,16,60,.366,234,321,-1.05,0.01,.299,16,16-44-22,.329
Anaheim Ducks,82,23,47,12,58,.354,209,338,-1.54,0.03,.280,13,13-47-22,.293
