Team Name,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%
New Jersey Devils*,82,46,20,10,6,108,.659,216,166,0.49,-0.12,.622
Philadelphia Flyers*,82,45,20,13,4,107,.652,211,166,0.43,-0.12,.628
New York Islanders*,82,35,34,11,2,83,.506,224,231,-0.16,-0.07,.494
New York Rangers,82,32,36,10,4,78,.476,210,231,-0.33,-0.08,.451
Pittsburgh Penguins,82,27,44,6,5,65,.396,189,255,-0.85,-0.04,.366
Ottawa Senators*,Northeast Division,82,52,21,8,1,113,.689,263,182,0.88,-0.11
Toronto Maple Leafs*,.683,82,44,28,7,3,98,.598,236,208,0.26,-0.08
Boston Bruins*,.579,82,36,31,11,4,87,.530,245,237,0.02,-0.08
Montreal Canadiens,.506,82,30,35,8,9,77,.470,206,234,-0.39,-0.05
Buffalo Sabres,.415,82,27,37,10,8,72,.439,190,219,-0.40,-0.05
Tampa Bay Lightning*,.390,Southeast Division,82,36,25,16,5,93,.567,219,210,-0.01
Washington Capitals*,-0.12,.537,82,39,29,8,6,92,.561,224,220,-0.06
Atlanta Thrashers,-0.11,.524,82,31,39,7,5,74,.451,226,284,-0.78
Florida Panthers,-0.07,.421,82,24,36,13,9,70,.427,176,237,-0.78
Carolina Hurricanes,-0.03,.372,82,22,43,11,6,61,.372,171,240,-0.90
Detroit Red Wings*,82,48,20,10,4,110,.671,269,203,0.85,0.05,.646
St. Louis Blues*,82,41,24,11,6,99,.604,253,222,0.43,0.05,.567
Chicago Blackhawks,82,30,33,13,6,79,.482,207,226,-0.14,0.09,.445
Nashville Predators,82,27,35,13,7,74,.451,183,206,-0.17,0.11,.409
Columbus Blue Jackets,82,29,42,8,3,69,.421,213,263,-0.51,0.11,.402
Colorado Avalanche*,Northwest Division,82,42,19,13,8,105,.640,251,194,0.75,0.06
Vancouver Canucks*,.591,82,45,23,13,1,104,.634,264,208,0.74,0.05
Minnesota Wild*,.628,82,42,29,10,1,95,.579,198,178,0.32,0.08
Edmonton Oilers*,.573,82,36,26,11,9,92,.561,231,230,0.12,0.11
Calgary Flames,.506,82,29,36,13,4,75,.457,186,228,-0.37,0.14
Dallas Stars*,.433,82,46,17,15,4,111,.677,245,169,0.94,0.01
Mighty Ducks of Anaheim*,.652,82,40,27,9,6,95,.579,203,193,0.19,0.07
Los Angeles Kings,.543,82,33,36,6,7,79,.482,203,221,-0.13,0.09
Phoenix Coyotes,.439,82,31,35,11,5,78,.476,204,230,-0.23,0.08
San Jose Sharks,.445,82,28,37,9,8,73,.445,214,239,-0.21,0.10
