Rk,,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
11,Los Angeles Kings*,28.0,82,39,27,12,4,94,.573,245,228,0.30,0.09,2.99,2.78,60,356,16.85,66,373,82.31,4,12,16.0,15.9,2421,10.1,2290,.900,2
12,Phoenix Coyotes*,29.6,82,39,31,8,4,90,.549,232,228,0.15,0.10,2.83,2.78,37,310,11.94,43,306,85.95,14,7,11.3,11.1,2212,10.5,2334,.902,6
13,Pittsburgh Penguins*,26.8,82,37,31,8,6,88,.537,241,236,-0.03,-0.09,2.94,2.88,54,346,15.61,56,321,82.55,7,11,14.7,14.5,2137,11.3,2356,.900,4
14,Edmonton Oilers*,26.0,82,32,26,16,8,88,.537,226,212,0.22,0.05,2.76,2.59,53,336,15.77,54,369,85.37,9,4,16.2,14.9,2310,9.8,2318,.909,2
15,San Jose Sharks*,27.6,82,35,30,10,7,87,.530,225,214,0.23,0.10,2.74,2.61,62,377,16.45,61,372,83.60,16,4,15.7,14.8,2248,10.0,2357,.909,5
16,Buffalo Sabres*,26.5,82,35,32,11,4,85,.518,213,204,0.01,-0.10,2.60,2.49,37,351,10.54,54,361,85.04,8,10,14.2,13.5,2228,9.6,2207,.908,8
17,Carolina Hurricanes,29.4,82,37,35,10,0,84,.512,217,216,-0.10,-0.11,2.65,2.63,58,342,16.96,40,253,84.19,3,7,9.7,11.8,2161,10.0,2141,.899,6
18,Vancouver Canucks,27.0,82,30,29,15,8,83,.506,227,237,-0.01,0.11,2.77,2.89,51,323,15.79,63,322,80.43,9,7,12.5,12.2,2187,10.4,2292,.897,1
19,Montreal Canadiens,27.6,82,35,34,9,4,83,.506,196,194,-0.06,-0.09,2.39,2.37,54,323,16.72,40,302,86.75,7,8,12.8,12.8,2135,9.2,2264,.914,8
20,Mighty Ducks of Anaheim,27.6,82,34,33,12,3,83,.506,217,227,0.02,0.14,2.65,2.77,55,332,16.57,62,296,79.05,4,8,11.2,12.9,2352,9.2,2259,.900,5
21,Chicago Blackhawks,27.1,82,33,37,10,2,78,.476,242,245,0.10,0.13,2.95,2.99,52,325,16.00,58,355,83.66,10,13,17.4,17.3,2106,11.5,2397,.898,4
22,Calgary Flames,26.5,82,31,36,10,5,77,.470,211,256,-0.42,0.13,2.57,3.12,59,330,17.88,74,365,79.73,4,8,15.4,15.5,2468,8.5,2381,.892,5
23,New York Rangers,29.6,82,29,38,12,3,73,.445,218,246,-0.39,-0.05,2.66,3.00,55,325,16.92,49,292,83.22,5,9,11.1,12.5,2416,9.0,2446,.899,0
24,Boston Bruins,26.8,82,24,33,19,6,73,.445,210,248,-0.52,-0.06,2.56,3.02,51,355,14.37,55,268,79.48,0,4,10.5,13.1,2516,8.3,2273,.891,6
25,Nashville Predators,26.7,82,28,40,7,7,70,.427,199,240,-0.36,0.14,2.43,2.93,41,304,13.49,46,309,85.11,9,11,11.4,11.3,2215,9.0,2499,.904,1
26,New York Islanders,24.4,82,24,48,9,1,58,.354,194,275,-1.02,-0.03,2.37,3.35,45,320,14.06,84,420,80.00,8,8,16.7,13.8,2146,9.0,2742,.900,3
27,Tampa Bay Lightning,25.3,82,19,47,9,7,54,.329,204,310,-1.34,-0.05,2.49,3.78,51,365,13.97,77,399,80.70,9,7,20.9,19.1,2084,9.8,2494,.876,0
28,Atlanta Thrashers,27.5,82,14,57,7,4,39,.238,170,313,-1.75,0.00,2.07,3.82,44,348,12.64,76,386,80.31,6,13,17.2,16.0,2115,8.0,2543,.877,2
,League Average,27.7,82,36,32,10,4,86,.525,225,225,,,,,53,331,16.15,53,331,83.85,8,8,13.9,13.9,2294,9.8,2294,.902,5
